time,State,Value,Variable,Date,Month,Year,State_Code
1952-04-01,Kansas,51.2,Average Temperature,1952-04-01,4,1952,KS
1952-05-01,Kansas,63.5,Average Temperature,1952-05-01,5,1952,KS
1952-06-01,Kansas,81.2,Average Temperature,1952-06-01,6,1952,KS
1952-07-01,Kansas,80.0,Average Temperature,1952-07-01,7,1952,KS
1952-08-01,Kansas,78.8,Average Temperature,1952-08-01,8,1952,KS
1952-09-01,Kansas,70.1,Average Temperature,1952-09-01,9,1952,KS
1952-10-01,Kansas,54.0,Average Temperature,1952-10-01,10,1952,KS
1952-11-01,Kansas,40.0,Average Temperature,1952-11-01,11,1952,KS
1952-12-01,Kansas,30.0,Average Temperature,1952-12-01,12,1952,KS
1953-01-01,Kansas,35.3,Average Temperature,1953-01-01,1,1953,KS
1953-02-01,Kansas,38.4,Average Temperature,1953-02-01,2,1953,KS
1953-03-01,Kansas,46.2,Average Temperature,1953-03-01,3,1953,KS
1953-04-01,Kansas,50.1,Average Temperature,1953-04-01,4,1953,KS
1953-05-01,Kansas,62.7,Average Temperature,1953-05-01,5,1953,KS
1953-06-01,Kansas,80.7,Average Temperature,1953-06-01,6,1953,KS
1953-07-01,Kansas,78.3,Average Temperature,1953-07-01,7,1953,KS
1953-08-01,Kansas,76.6,Average Temperature,1953-08-01,8,1953,KS
1953-09-01,Kansas,71.4,Average Temperature,1953-09-01,9,1953,KS
1953-10-01,Kansas,59.8,Average Temperature,1953-10-01,10,1953,KS
1953-11-01,Kansas,43.4,Average Temperature,1953-11-01,11,1953,KS
1953-12-01,Kansas,32.8,Average Temperature,1953-12-01,12,1953,KS
1954-01-01,Kansas,28.4,Average Temperature,1954-01-01,1,1954,KS
1954-02-01,Kansas,44.9,Average Temperature,1954-02-01,2,1954,KS
1954-03-01,Kansas,40.0,Average Temperature,1954-03-01,3,1954,KS
1954-04-01,Kansas,59.0,Average Temperature,1954-04-01,4,1954,KS
1954-05-01,Kansas,59.3,Average Temperature,1954-05-01,5,1954,KS
1954-06-01,Kansas,76.6,Average Temperature,1954-06-01,6,1954,KS
1954-07-01,Kansas,85.1,Average Temperature,1954-07-01,7,1954,KS
1954-08-01,Kansas,80.9,Average Temperature,1954-08-01,8,1954,KS
1954-09-01,Kansas,74.5,Average Temperature,1954-09-01,9,1954,KS
1954-10-01,Kansas,57.2,Average Temperature,1954-10-01,10,1954,KS
1954-11-01,Kansas,46.2,Average Temperature,1954-11-01,11,1954,KS
1954-12-01,Kansas,34.8,Average Temperature,1954-12-01,12,1954,KS
1955-01-01,Kansas,30.5,Average Temperature,1955-01-01,1,1955,KS
1955-02-01,Kansas,29.0,Average Temperature,1955-02-01,2,1955,KS
1955-03-01,Kansas,41.4,Average Temperature,1955-03-01,3,1955,KS
1955-04-01,Kansas,59.0,Average Temperature,1955-04-01,4,1955,KS
1955-05-01,Kansas,66.0,Average Temperature,1955-05-01,5,1955,KS
1955-06-01,Kansas,70.0,Average Temperature,1955-06-01,6,1955,KS
1955-07-01,Kansas,82.6,Average Temperature,1955-07-01,7,1955,KS
1955-08-01,Kansas,79.4,Average Temperature,1955-08-01,8,1955,KS
1955-09-01,Kansas,71.1,Average Temperature,1955-09-01,9,1955,KS
1955-10-01,Kansas,57.7,Average Temperature,1955-10-01,10,1955,KS
1955-11-01,Kansas,38.3,Average Temperature,1955-11-01,11,1955,KS
1955-12-01,Kansas,30.0,Average Temperature,1955-12-01,12,1955,KS
1956-01-01,Kansas,28.0,Average Temperature,1956-01-01,1,1956,KS
1956-02-01,Kansas,31.3,Average Temperature,1956-02-01,2,1956,KS
1956-03-01,Kansas,43.6,Average Temperature,1956-03-01,3,1956,KS
1956-04-01,Kansas,51.2,Average Temperature,1956-04-01,4,1956,KS
1956-05-01,Kansas,68.3,Average Temperature,1956-05-01,5,1956,KS
1956-06-01,Kansas,78.0,Average Temperature,1956-06-01,6,1956,KS
1956-07-01,Kansas,79.5,Average Temperature,1956-07-01,7,1956,KS
1956-08-01,Kansas,80.0,Average Temperature,1956-08-01,8,1956,KS
1956-09-01,Kansas,72.2,Average Temperature,1956-09-01,9,1956,KS
1956-10-01,Kansas,62.2,Average Temperature,1956-10-01,10,1956,KS
1956-11-01,Kansas,41.4,Average Temperature,1956-11-01,11,1956,KS
1956-12-01,Kansas,35.5,Average Temperature,1956-12-01,12,1956,KS
1957-01-01,Kansas,23.7,Average Temperature,1957-01-01,1,1957,KS
1957-02-01,Kansas,37.8,Average Temperature,1957-02-01,2,1957,KS
1957-03-01,Kansas,41.3,Average Temperature,1957-03-01,3,1957,KS
1957-04-01,Kansas,50.9,Average Temperature,1957-04-01,4,1957,KS
1957-05-01,Kansas,61.4,Average Temperature,1957-05-01,5,1957,KS
1957-06-01,Kansas,71.4,Average Temperature,1957-06-01,6,1957,KS
1957-07-01,Kansas,81.2,Average Temperature,1957-07-01,7,1957,KS
1957-08-01,Kansas,78.8,Average Temperature,1957-08-01,8,1957,KS
1957-09-01,Kansas,64.9,Average Temperature,1957-09-01,9,1957,KS
1957-10-01,Kansas,54.1,Average Temperature,1957-10-01,10,1957,KS
1957-11-01,Kansas,39.7,Average Temperature,1957-11-01,11,1957,KS
1957-12-01,Kansas,38.5,Average Temperature,1957-12-01,12,1957,KS
1958-01-01,Kansas,32.0,Average Temperature,1958-01-01,1,1958,KS
1958-02-01,Kansas,29.2,Average Temperature,1958-02-01,2,1958,KS
1958-03-01,Kansas,31.9,Average Temperature,1958-03-01,3,1958,KS
1958-04-01,Kansas,50.9,Average Temperature,1958-04-01,4,1958,KS
1958-05-01,Kansas,65.8,Average Temperature,1958-05-01,5,1958,KS
1958-06-01,Kansas,73.0,Average Temperature,1958-06-01,6,1958,KS
1958-07-01,Kansas,75.6,Average Temperature,1958-07-01,7,1958,KS
1958-08-01,Kansas,76.6,Average Temperature,1958-08-01,8,1958,KS
1958-09-01,Kansas,69.7,Average Temperature,1958-09-01,9,1958,KS
1958-10-01,Kansas,57.4,Average Temperature,1958-10-01,10,1958,KS
1958-11-01,Kansas,44.5,Average Temperature,1958-11-01,11,1958,KS
1958-12-01,Kansas,31.1,Average Temperature,1958-12-01,12,1958,KS
1959-01-01,Kansas,25.1,Average Temperature,1959-01-01,1,1959,KS
1959-02-01,Kansas,31.8,Average Temperature,1959-02-01,2,1959,KS
1959-03-01,Kansas,43.2,Average Temperature,1959-03-01,3,1959,KS
1959-04-01,Kansas,52.6,Average Temperature,1959-04-01,4,1959,KS
1959-05-01,Kansas,65.4,Average Temperature,1959-05-01,5,1959,KS
1959-06-01,Kansas,75.2,Average Temperature,1959-06-01,6,1959,KS
1959-07-01,Kansas,75.3,Average Temperature,1959-07-01,7,1959,KS
1959-08-01,Kansas,79.9,Average Temperature,1959-08-01,8,1959,KS
1959-09-01,Kansas,67.5,Average Temperature,1959-09-01,9,1959,KS
1959-10-01,Kansas,52.4,Average Temperature,1959-10-01,10,1959,KS
1959-11-01,Kansas,37.6,Average Temperature,1959-11-01,11,1959,KS
1959-12-01,Kansas,36.9,Average Temperature,1959-12-01,12,1959,KS
1960-01-01,Kansas,27.2,Average Temperature,1960-01-01,1,1960,KS
1960-02-01,Kansas,25.5,Average Temperature,1960-02-01,2,1960,KS
1960-03-01,Kansas,31.4,Average Temperature,1960-03-01,3,1960,KS
1960-04-01,Kansas,56.5,Average Temperature,1960-04-01,4,1960,KS
1960-05-01,Kansas,62.5,Average Temperature,1960-05-01,5,1960,KS
1960-06-01,Kansas,72.5,Average Temperature,1960-06-01,6,1960,KS
1960-07-01,Kansas,76.2,Average Temperature,1960-07-01,7,1960,KS
1960-08-01,Kansas,77.5,Average Temperature,1960-08-01,8,1960,KS
1960-09-01,Kansas,70.2,Average Temperature,1960-09-01,9,1960,KS
1960-10-01,Kansas,58.2,Average Temperature,1960-10-01,10,1960,KS
1960-11-01,Kansas,43.4,Average Temperature,1960-11-01,11,1960,KS
1960-12-01,Kansas,30.9,Average Temperature,1960-12-01,12,1960,KS
1961-01-01,Kansas,30.0,Average Temperature,1961-01-01,1,1961,KS
1961-02-01,Kansas,36.3,Average Temperature,1961-02-01,2,1961,KS
1961-03-01,Kansas,43.2,Average Temperature,1961-03-01,3,1961,KS
1961-04-01,Kansas,50.1,Average Temperature,1961-04-01,4,1961,KS
1961-05-01,Kansas,61.0,Average Temperature,1961-05-01,5,1961,KS
1961-06-01,Kansas,72.2,Average Temperature,1961-06-01,6,1961,KS
1961-07-01,Kansas,77.5,Average Temperature,1961-07-01,7,1961,KS
1961-08-01,Kansas,75.2,Average Temperature,1961-08-01,8,1961,KS
1961-09-01,Kansas,64.0,Average Temperature,1961-09-01,9,1961,KS
1961-10-01,Kansas,56.5,Average Temperature,1961-10-01,10,1961,KS
1961-11-01,Kansas,39.1,Average Temperature,1961-11-01,11,1961,KS
1961-12-01,Kansas,26.8,Average Temperature,1961-12-01,12,1961,KS
1962-01-01,Kansas,24.0,Average Temperature,1962-01-01,1,1962,KS
1962-02-01,Kansas,35.5,Average Temperature,1962-02-01,2,1962,KS
1962-03-01,Kansas,39.3,Average Temperature,1962-03-01,3,1962,KS
1962-04-01,Kansas,53.2,Average Temperature,1962-04-01,4,1962,KS
1962-05-01,Kansas,71.1,Average Temperature,1962-05-01,5,1962,KS
1962-06-01,Kansas,71.7,Average Temperature,1962-06-01,6,1962,KS
1962-07-01,Kansas,77.1,Average Temperature,1962-07-01,7,1962,KS
1962-08-01,Kansas,77.7,Average Temperature,1962-08-01,8,1962,KS
1962-09-01,Kansas,65.9,Average Temperature,1962-09-01,9,1962,KS
1962-10-01,Kansas,59.2,Average Temperature,1962-10-01,10,1962,KS
1962-11-01,Kansas,43.3,Average Temperature,1962-11-01,11,1962,KS
1962-12-01,Kansas,33.8,Average Temperature,1962-12-01,12,1962,KS
1963-01-01,Kansas,20.1,Average Temperature,1963-01-01,1,1963,KS
1963-02-01,Kansas,36.0,Average Temperature,1963-02-01,2,1963,KS
1963-03-01,Kansas,46.7,Average Temperature,1963-03-01,3,1963,KS
1963-04-01,Kansas,57.6,Average Temperature,1963-04-01,4,1963,KS
1963-05-01,Kansas,66.3,Average Temperature,1963-05-01,5,1963,KS
1963-06-01,Kansas,76.6,Average Temperature,1963-06-01,6,1963,KS
1963-07-01,Kansas,81.2,Average Temperature,1963-07-01,7,1963,KS
1963-08-01,Kansas,78.8,Average Temperature,1963-08-01,8,1963,KS
1963-09-01,Kansas,71.2,Average Temperature,1963-09-01,9,1963,KS
1963-10-01,Kansas,65.5,Average Temperature,1963-10-01,10,1963,KS
1963-11-01,Kansas,45.2,Average Temperature,1963-11-01,11,1963,KS
1963-12-01,Kansas,24.8,Average Temperature,1963-12-01,12,1963,KS
1964-01-01,Kansas,33.9,Average Temperature,1964-01-01,1,1964,KS
1964-02-01,Kansas,32.4,Average Temperature,1964-02-01,2,1964,KS
1964-03-01,Kansas,39.6,Average Temperature,1964-03-01,3,1964,KS
1964-04-01,Kansas,55.4,Average Temperature,1964-04-01,4,1964,KS
1964-05-01,Kansas,67.6,Average Temperature,1964-05-01,5,1964,KS
1964-06-01,Kansas,73.0,Average Temperature,1964-06-01,6,1964,KS
1964-07-01,Kansas,82.3,Average Temperature,1964-07-01,7,1964,KS
1964-08-01,Kansas,75.5,Average Temperature,1964-08-01,8,1964,KS
1964-09-01,Kansas,68.3,Average Temperature,1964-09-01,9,1964,KS
1964-10-01,Kansas,56.0,Average Temperature,1964-10-01,10,1964,KS
1964-11-01,Kansas,44.2,Average Temperature,1964-11-01,11,1964,KS
1964-12-01,Kansas,30.2,Average Temperature,1964-12-01,12,1964,KS
1965-01-01,Kansas,32.5,Average Temperature,1965-01-01,1,1965,KS
1965-02-01,Kansas,31.0,Average Temperature,1965-02-01,2,1965,KS
1965-03-01,Kansas,32.6,Average Temperature,1965-03-01,3,1965,KS
1965-04-01,Kansas,57.2,Average Temperature,1965-04-01,4,1965,KS
1965-05-01,Kansas,66.8,Average Temperature,1965-05-01,5,1965,KS
1965-06-01,Kansas,72.2,Average Temperature,1965-06-01,6,1965,KS
1965-07-01,Kansas,78.5,Average Temperature,1965-07-01,7,1965,KS
1965-08-01,Kansas,75.6,Average Temperature,1965-08-01,8,1965,KS
1965-09-01,Kansas,64.7,Average Temperature,1965-09-01,9,1965,KS
1965-10-01,Kansas,58.0,Average Temperature,1965-10-01,10,1965,KS
1965-11-01,Kansas,46.9,Average Temperature,1965-11-01,11,1965,KS
1965-12-01,Kansas,37.4,Average Temperature,1965-12-01,12,1965,KS
1966-01-01,Kansas,24.6,Average Temperature,1966-01-01,1,1966,KS
1966-02-01,Kansas,30.5,Average Temperature,1966-02-01,2,1966,KS
1966-03-01,Kansas,46.1,Average Temperature,1966-03-01,3,1966,KS
1966-04-01,Kansas,50.9,Average Temperature,1966-04-01,4,1966,KS
1966-05-01,Kansas,64.2,Average Temperature,1966-05-01,5,1966,KS
1966-06-01,Kansas,73.9,Average Temperature,1966-06-01,6,1966,KS
1966-07-01,Kansas,82.6,Average Temperature,1966-07-01,7,1966,KS
1966-08-01,Kansas,73.4,Average Temperature,1966-08-01,8,1966,KS
1966-09-01,Kansas,66.2,Average Temperature,1966-09-01,9,1966,KS
1966-10-01,Kansas,55.6,Average Temperature,1966-10-01,10,1966,KS
1966-11-01,Kansas,43.7,Average Temperature,1966-11-01,11,1966,KS
1966-12-01,Kansas,29.7,Average Temperature,1966-12-01,12,1966,KS
1967-01-01,Kansas,31.8,Average Temperature,1967-01-01,1,1967,KS
1967-02-01,Kansas,34.7,Average Temperature,1967-02-01,2,1967,KS
1967-03-01,Kansas,47.2,Average Temperature,1967-03-01,3,1967,KS
1967-04-01,Kansas,57.3,Average Temperature,1967-04-01,4,1967,KS
1967-05-01,Kansas,60.7,Average Temperature,1967-05-01,5,1967,KS
1967-06-01,Kansas,71.5,Average Temperature,1967-06-01,6,1967,KS
1967-07-01,Kansas,74.7,Average Temperature,1967-07-01,7,1967,KS
1967-08-01,Kansas,73.3,Average Temperature,1967-08-01,8,1967,KS
1967-09-01,Kansas,65.1,Average Temperature,1967-09-01,9,1967,KS
1967-10-01,Kansas,56.4,Average Temperature,1967-10-01,10,1967,KS
1967-11-01,Kansas,41.3,Average Temperature,1967-11-01,11,1967,KS
1967-12-01,Kansas,32.2,Average Temperature,1967-12-01,12,1967,KS
1968-01-01,Kansas,29.1,Average Temperature,1968-01-01,1,1968,KS
1968-02-01,Kansas,32.6,Average Temperature,1968-02-01,2,1968,KS
1968-03-01,Kansas,46.4,Average Temperature,1968-03-01,3,1968,KS
1968-04-01,Kansas,53.5,Average Temperature,1968-04-01,4,1968,KS
1968-05-01,Kansas,59.2,Average Temperature,1968-05-01,5,1968,KS
1968-06-01,Kansas,74.6,Average Temperature,1968-06-01,6,1968,KS
1968-07-01,Kansas,77.8,Average Temperature,1968-07-01,7,1968,KS
1968-08-01,Kansas,76.2,Average Temperature,1968-08-01,8,1968,KS
1968-09-01,Kansas,67.2,Average Temperature,1968-09-01,9,1968,KS
1968-10-01,Kansas,57.9,Average Temperature,1968-10-01,10,1968,KS
1968-11-01,Kansas,39.9,Average Temperature,1968-11-01,11,1968,KS
1968-12-01,Kansas,27.4,Average Temperature,1968-12-01,12,1968,KS
1969-01-01,Kansas,27.7,Average Temperature,1969-01-01,1,1969,KS
1969-02-01,Kansas,33.6,Average Temperature,1969-02-01,2,1969,KS
1969-03-01,Kansas,34.0,Average Temperature,1969-03-01,3,1969,KS
1969-04-01,Kansas,55.3,Average Temperature,1969-04-01,4,1969,KS
1969-05-01,Kansas,64.5,Average Temperature,1969-05-01,5,1969,KS
1969-06-01,Kansas,69.7,Average Temperature,1969-06-01,6,1969,KS
1969-07-01,Kansas,80.3,Average Temperature,1969-07-01,7,1969,KS
1969-08-01,Kansas,76.8,Average Temperature,1969-08-01,8,1969,KS
1969-09-01,Kansas,69.2,Average Temperature,1969-09-01,9,1969,KS
1969-10-01,Kansas,51.5,Average Temperature,1969-10-01,10,1969,KS
1969-11-01,Kansas,42.9,Average Temperature,1969-11-01,11,1969,KS
1969-12-01,Kansas,32.2,Average Temperature,1969-12-01,12,1969,KS
1970-01-01,Kansas,25.8,Average Temperature,1970-01-01,1,1970,KS
1970-02-01,Kansas,37.5,Average Temperature,1970-02-01,2,1970,KS
1970-03-01,Kansas,37.3,Average Temperature,1970-03-01,3,1970,KS
1970-04-01,Kansas,52.6,Average Temperature,1970-04-01,4,1970,KS
1970-05-01,Kansas,67.6,Average Temperature,1970-05-01,5,1970,KS
1970-06-01,Kansas,72.6,Average Temperature,1970-06-01,6,1970,KS
1970-07-01,Kansas,79.0,Average Temperature,1970-07-01,7,1970,KS
1970-08-01,Kansas,80.3,Average Temperature,1970-08-01,8,1970,KS
1970-09-01,Kansas,67.5,Average Temperature,1970-09-01,9,1970,KS
1970-10-01,Kansas,52.3,Average Temperature,1970-10-01,10,1970,KS
1970-11-01,Kansas,40.5,Average Temperature,1970-11-01,11,1970,KS
1970-12-01,Kansas,35.0,Average Temperature,1970-12-01,12,1970,KS
1971-01-01,Kansas,26.9,Average Temperature,1971-01-01,1,1971,KS
1971-02-01,Kansas,29.5,Average Temperature,1971-02-01,2,1971,KS
1971-03-01,Kansas,41.2,Average Temperature,1971-03-01,3,1971,KS
1971-04-01,Kansas,54.5,Average Temperature,1971-04-01,4,1971,KS
1971-05-01,Kansas,61.4,Average Temperature,1971-05-01,5,1971,KS
1971-06-01,Kansas,76.5,Average Temperature,1971-06-01,6,1971,KS
1971-07-01,Kansas,76.1,Average Temperature,1971-07-01,7,1971,KS
1971-08-01,Kansas,75.5,Average Temperature,1971-08-01,8,1971,KS
1971-09-01,Kansas,68.0,Average Temperature,1971-09-01,9,1971,KS
1971-10-01,Kansas,58.7,Average Temperature,1971-10-01,10,1971,KS
1971-11-01,Kansas,43.2,Average Temperature,1971-11-01,11,1971,KS
1971-12-01,Kansas,34.4,Average Temperature,1971-12-01,12,1971,KS
1972-01-01,Kansas,27.4,Average Temperature,1972-01-01,1,1972,KS
1972-02-01,Kansas,34.5,Average Temperature,1972-02-01,2,1972,KS
1972-03-01,Kansas,47.8,Average Temperature,1972-03-01,3,1972,KS
1972-04-01,Kansas,54.7,Average Temperature,1972-04-01,4,1972,KS
1972-05-01,Kansas,62.8,Average Temperature,1972-05-01,5,1972,KS
1972-06-01,Kansas,74.1,Average Temperature,1972-06-01,6,1972,KS
1972-07-01,Kansas,76.0,Average Temperature,1972-07-01,7,1972,KS
1972-08-01,Kansas,75.3,Average Temperature,1972-08-01,8,1972,KS
1972-09-01,Kansas,68.6,Average Temperature,1972-09-01,9,1972,KS
1972-10-01,Kansas,53.9,Average Temperature,1972-10-01,10,1972,KS
1972-11-01,Kansas,37.2,Average Temperature,1972-11-01,11,1972,KS
1972-12-01,Kansas,26.0,Average Temperature,1972-12-01,12,1972,KS
1973-01-01,Kansas,27.7,Average Temperature,1973-01-01,1,1973,KS
1973-02-01,Kansas,34.6,Average Temperature,1973-02-01,2,1973,KS
1973-03-01,Kansas,45.4,Average Temperature,1973-03-01,3,1973,KS
1973-04-01,Kansas,50.4,Average Temperature,1973-04-01,4,1973,KS
1973-05-01,Kansas,61.2,Average Temperature,1973-05-01,5,1973,KS
1973-06-01,Kansas,74.4,Average Temperature,1973-06-01,6,1973,KS
1973-07-01,Kansas,77.8,Average Temperature,1973-07-01,7,1973,KS
1973-08-01,Kansas,78.0,Average Temperature,1973-08-01,8,1973,KS
1973-09-01,Kansas,65.1,Average Temperature,1973-09-01,9,1973,KS
1973-10-01,Kansas,59.0,Average Temperature,1973-10-01,10,1973,KS
1973-11-01,Kansas,43.6,Average Temperature,1973-11-01,11,1973,KS
1973-12-01,Kansas,30.7,Average Temperature,1973-12-01,12,1973,KS
1974-01-01,Kansas,24.5,Average Temperature,1974-01-01,1,1974,KS
1974-02-01,Kansas,37.8,Average Temperature,1974-02-01,2,1974,KS
1974-03-01,Kansas,46.7,Average Temperature,1974-03-01,3,1974,KS
1974-04-01,Kansas,55.4,Average Temperature,1974-04-01,4,1974,KS
1974-05-01,Kansas,66.7,Average Temperature,1974-05-01,5,1974,KS
1974-06-01,Kansas,71.8,Average Temperature,1974-06-01,6,1974,KS
1974-07-01,Kansas,82.2,Average Temperature,1974-07-01,7,1974,KS
1974-08-01,Kansas,73.2,Average Temperature,1974-08-01,8,1974,KS
1974-09-01,Kansas,61.7,Average Temperature,1974-09-01,9,1974,KS
1974-10-01,Kansas,58.1,Average Temperature,1974-10-01,10,1974,KS
1974-11-01,Kansas,42.2,Average Temperature,1974-11-01,11,1974,KS
1974-12-01,Kansas,32.2,Average Temperature,1974-12-01,12,1974,KS
1975-01-01,Kansas,31.8,Average Temperature,1975-01-01,1,1975,KS
1975-02-01,Kansas,28.8,Average Temperature,1975-02-01,2,1975,KS
1975-03-01,Kansas,37.9,Average Temperature,1975-03-01,3,1975,KS
1975-04-01,Kansas,52.7,Average Temperature,1975-04-01,4,1975,KS
1975-05-01,Kansas,64.0,Average Temperature,1975-05-01,5,1975,KS
1975-06-01,Kansas,71.9,Average Temperature,1975-06-01,6,1975,KS
1975-07-01,Kansas,78.1,Average Temperature,1975-07-01,7,1975,KS
1975-08-01,Kansas,78.9,Average Temperature,1975-08-01,8,1975,KS
1975-09-01,Kansas,64.8,Average Temperature,1975-09-01,9,1975,KS
1975-10-01,Kansas,58.4,Average Temperature,1975-10-01,10,1975,KS
1975-11-01,Kansas,42.3,Average Temperature,1975-11-01,11,1975,KS
1975-12-01,Kansas,35.1,Average Temperature,1975-12-01,12,1975,KS
1976-01-01,Kansas,30.8,Average Temperature,1976-01-01,1,1976,KS
1976-02-01,Kansas,43.4,Average Temperature,1976-02-01,2,1976,KS
1976-03-01,Kansas,43.9,Average Temperature,1976-03-01,3,1976,KS
1976-04-01,Kansas,55.7,Average Temperature,1976-04-01,4,1976,KS
1976-05-01,Kansas,59.9,Average Temperature,1976-05-01,5,1976,KS
1976-06-01,Kansas,72.7,Average Temperature,1976-06-01,6,1976,KS
1976-07-01,Kansas,78.3,Average Temperature,1976-07-01,7,1976,KS
1976-08-01,Kansas,77.6,Average Temperature,1976-08-01,8,1976,KS
1976-09-01,Kansas,68.0,Average Temperature,1976-09-01,9,1976,KS
1976-10-01,Kansas,50.5,Average Temperature,1976-10-01,10,1976,KS
1976-11-01,Kansas,37.2,Average Temperature,1976-11-01,11,1976,KS
1976-12-01,Kansas,32.4,Average Temperature,1976-12-01,12,1976,KS
1977-01-01,Kansas,21.0,Average Temperature,1977-01-01,1,1977,KS
1977-02-01,Kansas,38.7,Average Temperature,1977-02-01,2,1977,KS
1977-03-01,Kansas,46.3,Average Temperature,1977-03-01,3,1977,KS
1977-04-01,Kansas,57.3,Average Temperature,1977-04-01,4,1977,KS
1977-05-01,Kansas,67.7,Average Temperature,1977-05-01,5,1977,KS
1977-06-01,Kansas,76.0,Average Temperature,1977-06-01,6,1977,KS
1977-07-01,Kansas,80.9,Average Temperature,1977-07-01,7,1977,KS
1977-08-01,Kansas,75.4,Average Temperature,1977-08-01,8,1977,KS
1977-09-01,Kansas,70.0,Average Temperature,1977-09-01,9,1977,KS
1977-10-01,Kansas,56.8,Average Temperature,1977-10-01,10,1977,KS
1977-11-01,Kansas,42.8,Average Temperature,1977-11-01,11,1977,KS
1977-12-01,Kansas,32.5,Average Temperature,1977-12-01,12,1977,KS
1978-01-01,Kansas,19.1,Average Temperature,1978-01-01,1,1978,KS
1978-02-01,Kansas,21.2,Average Temperature,1978-02-01,2,1978,KS
1978-03-01,Kansas,41.2,Average Temperature,1978-03-01,3,1978,KS
1978-04-01,Kansas,55.9,Average Temperature,1978-04-01,4,1978,KS
1978-05-01,Kansas,61.9,Average Temperature,1978-05-01,5,1978,KS
1978-06-01,Kansas,74.3,Average Temperature,1978-06-01,6,1978,KS
1978-07-01,Kansas,81.2,Average Temperature,1978-07-01,7,1978,KS
1978-08-01,Kansas,77.3,Average Temperature,1978-08-01,8,1978,KS
1978-09-01,Kansas,72.2,Average Temperature,1978-09-01,9,1978,KS
1978-10-01,Kansas,56.6,Average Temperature,1978-10-01,10,1978,KS
1978-11-01,Kansas,41.8,Average Temperature,1978-11-01,11,1978,KS
1978-12-01,Kansas,29.7,Average Temperature,1978-12-01,12,1978,KS
1979-01-01,Kansas,15.0,Average Temperature,1979-01-01,1,1979,KS
1979-02-01,Kansas,24.5,Average Temperature,1979-02-01,2,1979,KS
1979-03-01,Kansas,43.6,Average Temperature,1979-03-01,3,1979,KS
1979-04-01,Kansas,52.7,Average Temperature,1979-04-01,4,1979,KS
1979-05-01,Kansas,61.5,Average Temperature,1979-05-01,5,1979,KS
1979-06-01,Kansas,72.6,Average Temperature,1979-06-01,6,1979,KS
1979-07-01,Kansas,77.8,Average Temperature,1979-07-01,7,1979,KS
1979-08-01,Kansas,75.5,Average Temperature,1979-08-01,8,1979,KS
1979-09-01,Kansas,69.9,Average Temperature,1979-09-01,9,1979,KS
1979-10-01,Kansas,59.2,Average Temperature,1979-10-01,10,1979,KS
1979-11-01,Kansas,39.0,Average Temperature,1979-11-01,11,1979,KS
1979-12-01,Kansas,36.2,Average Temperature,1979-12-01,12,1979,KS
1980-01-01,Kansas,28.9,Average Temperature,1980-01-01,1,1980,KS
1980-02-01,Kansas,29.0,Average Temperature,1980-02-01,2,1980,KS
1980-03-01,Kansas,38.8,Average Temperature,1980-03-01,3,1980,KS
1980-04-01,Kansas,52.2,Average Temperature,1980-04-01,4,1980,KS
1980-05-01,Kansas,62.6,Average Temperature,1980-05-01,5,1980,KS
1980-06-01,Kansas,76.8,Average Temperature,1980-06-01,6,1980,KS
1980-07-01,Kansas,85.5,Average Temperature,1980-07-01,7,1980,KS
1980-08-01,Kansas,80.6,Average Temperature,1980-08-01,8,1980,KS
1980-09-01,Kansas,70.9,Average Temperature,1980-09-01,9,1980,KS
1980-10-01,Kansas,55.6,Average Temperature,1980-10-01,10,1980,KS
1980-11-01,Kansas,44.4,Average Temperature,1980-11-01,11,1980,KS
1980-12-01,Kansas,35.7,Average Temperature,1980-12-01,12,1980,KS
1981-01-01,Kansas,33.1,Average Temperature,1981-01-01,1,1981,KS
1981-02-01,Kansas,36.7,Average Temperature,1981-02-01,2,1981,KS
1981-03-01,Kansas,45.3,Average Temperature,1981-03-01,3,1981,KS
1981-04-01,Kansas,61.4,Average Temperature,1981-04-01,4,1981,KS
1981-05-01,Kansas,60.3,Average Temperature,1981-05-01,5,1981,KS
1981-06-01,Kansas,75.8,Average Temperature,1981-06-01,6,1981,KS
1981-07-01,Kansas,79.2,Average Temperature,1981-07-01,7,1981,KS
1981-08-01,Kansas,74.8,Average Temperature,1981-08-01,8,1981,KS
1981-09-01,Kansas,68.9,Average Temperature,1981-09-01,9,1981,KS
1981-10-01,Kansas,54.9,Average Temperature,1981-10-01,10,1981,KS
1981-11-01,Kansas,45.3,Average Temperature,1981-11-01,11,1981,KS
1981-12-01,Kansas,32.3,Average Temperature,1981-12-01,12,1981,KS
1982-01-01,Kansas,24.6,Average Temperature,1982-01-01,1,1982,KS
1982-02-01,Kansas,28.7,Average Temperature,1982-02-01,2,1982,KS
1982-03-01,Kansas,43.2,Average Temperature,1982-03-01,3,1982,KS
1982-04-01,Kansas,51.4,Average Temperature,1982-04-01,4,1982,KS
1982-05-01,Kansas,63.9,Average Temperature,1982-05-01,5,1982,KS
1982-06-01,Kansas,68.1,Average Temperature,1982-06-01,6,1982,KS
1982-07-01,Kansas,78.8,Average Temperature,1982-07-01,7,1982,KS
1982-08-01,Kansas,77.9,Average Temperature,1982-08-01,8,1982,KS
1982-09-01,Kansas,68.4,Average Temperature,1982-09-01,9,1982,KS
1982-10-01,Kansas,55.9,Average Temperature,1982-10-01,10,1982,KS
